objectid,duplicate objectid,images,parentid,title,scope note,creator,date,description,paratext_type,tag,source,publisher,gcd_id,gcd_link,type,format,language,image_source,image_source_link,rights,rightsstatement,display_template,object_location,image_small,image_thumb,note,prefix
cbp_0001,FALSE,TRUE,,Dedication: Animal Man #8 (February 1989). DC Comics. ,,"Morrison, Grant;Truog, Chas",1989-02,"Dedication to to “John Broome, Gardner Fox, Carmine Infantino and the late, great Barry Allen.”",dedication,,Animal Man #8 (February 1989). DC Comics.,DC,45819,<a href='https://www.comics.org/issue/45819/'>45819</a>,Image;StillImage,image/png,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0001.png,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0001_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0001_th.jpg,,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/
cbp_0002,FALSE,TRUE,cbp_0001,Dedication: Animal Man #8 (February 1989). DC Comics. Full page.,Full page,"Morrison, Grant;Truog, Chas",1989-02,"Dedication to to “John Broome, Gardner Fox, Carmine Infantino and the late, great Barry Allen.” Full page.",dedication,,Animal Man #8 (February 1989). DC Comics.,DC,45819,<a href='https://www.comics.org/issue/45819/'>45819</a>,Image;StillImage,image/png,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0002.png,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0002_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0002_th.jpg,,https://d12a20x9m1f48f.cloudfront.net/cbp/objects/
cbp_0003,FALSE,TRUE,cbp_0001,Dedication: Animal Man #8 (February 1989). DC Comics. Detail.,Detail,"Morrison, Grant;Truog, Chas",1989-02,"Dedication to to “John Broome, Gardner Fox, Carmine Infantino and the late, great Barry Allen.” Detail.",dedication,,Animal Man #8 (February 1989). DC Comics.,DC,45819,<a href='https://www.comics.org/issue/45819/'>45819</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0003.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0003_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0003_th.jpg,,
cbp_0004,FALSE,TRUE,,Dedication: Sub-Mariner #38 (June 1971). Marvel Comics. ,,"Thomas, Roy;Andru, Ross;Severin, John",1971-06,Dedication to Bill Everett.,dedication,,Sub-Mariner #38 (June 1971). Marvel Comics.,Marvel,24306,<a href='https://www.comics.org/issue/24306/'>24306</a>,Image;StillImage,image/jpeg,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0006.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0006_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0006_th.jpg,,
cbp_0005,FALSE,TRUE,cbp_0004,Dedication: Sub-Mariner #38 (June 1971). Marvel Comics. Full page.,Full page,"Thomas, Roy;Andru, Ross;Severin, John",1971-06,Dedication to Bill Everett. Full page.,dedication,,Sub-Mariner #38 (June 1971). Marvel Comics.,Marvel,24306,<a href='https://www.comics.org/issue/24306/'>24306</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0005.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0005_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0005_th.jpg,,
cbp_0006,FALSE,TRUE,cbp_0004,Dedication: Sub-Mariner #38 (June 1971). Marvel Comics. Detail.,Detail,"Thomas, Roy;Andru, Ross;Severin, John",1971-06,Dedication to Bill Everett. Detail.,dedication,,Sub-Mariner #38 (June 1971). Marvel Comics.,Marvel,24306,<a href='https://www.comics.org/issue/24306/'>24306</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0006.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0006_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0006_th.jpg,,
cbp_0007,FALSE,TRUE,,"Correspondence: “Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics. ",,"Moore, Alan;Veitch, Rick;Gibbons, Dave",1993-04,Mystery Mailbag. Parodic homage to fan mail from the 1960s. ,correspondence,,"“Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics.",Image,52812,<a href='https://www.comics.org/issue/52812/'>52812</a>,Image;StillImage,image/jpeg,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0008.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0008_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0008_th.jpg,,
cbp_0008,FALSE,TRUE,cbp_0007,"Correspondence: “Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics. ",,"Moore, Alan;Veitch, Rick;Gibbons, Dave",1993-04,Mystery Mailbag. Parodic homage to fan mail from the 1960s. ,correspondence,,"“Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics.",Image,52812,<a href='https://www.comics.org/issue/52812/'>52812</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0008.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0008_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0008_th.jpg,,
cbp_0009,FALSE,TRUE,cbp_0007,"Correspondence: “Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics. ",,"Moore, Alan;Veitch, Rick;Gibbons, Dave",1993-04,Mystery Mailbag. Parodic homage to fan mail from the 1960s. ,correspondence,,"“Mystery Mailbag."" 1963 Book One: Mystery Incorporated (April 1993). Image Comics.",Image,52812,<a href='https://www.comics.org/issue/52812/'>52812</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0009.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0009_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0009_th.jpg,,
cbp_0010,FALSE,TRUE,,Documentary paratext: 1963 Book One: Mystery Incorporated (April 1993). Image Comics. ,,"Moore, Alan;Veitch, Rick;Gibbons, Dave",1993-04,Crystal Man Snap-Shot! Homage to the “Pin-Ups” from 1960s and later Marvel Comics.,documentary paratext,pin-up,1963 Book One: Mystery Incorporated (April 1993). Image Comics.,Image,52812,<a href='https://www.comics.org/issue/52812/'>52812</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0010.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0010_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0010_th.jpg,,
cbp_0011,FALSE,TRUE,,Documentary paratext: Fantastic Four Annual #1 (1963). Marvel Comics. ,,"Lee, Stan;Kirby, Jack",1963,"Questions and answers about the Fantastic Four, their powers, costumes, etc., with a section devoted to each of the four characters",documentary paratext,reference,Fantastic Four Annual #1 (1963). Marvel Comics.,Marvel,17360,<a href='https://www.comics.org/issue/17360/'>17360</a>,Image;StillImage,image/png,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0011.png,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0011_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0011_th.jpg,,
cbp_0012,FALSE,TRUE,,Advertisement: Avengers #101 (July 1972). Marvel Comics. ,,,1972-07,"Advertisement recruiting “boys” to sell Grit, “America’s greatest family newspaper.”",advertisement,gender,Avengers #101 (July 1972). Marvel Comics.,Marvel,25269,<a href='https://www.comics.org/issue/25269/'>25269</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0012.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0012_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0012_th.jpg,,
cbp_0013,FALSE,TRUE,,Advertisement: Avengers #101 (July 1972). Marvel Comics. ,,,1972-07,Advertisement for Charles Atlas body-building products.,advertisement,comics;gender,Avengers #101 (July 1972). Marvel Comics.,Marvel,25269,<a href='https://www.comics.org/issue/25269/'>25269</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0013.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0013_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0013_th.jpg,,
cbp_0014,FALSE,TRUE,,Advertisement: Avengers #101 (July 1972). Marvel Comics. ,,,1972-07,Advertisement for mail-order electric guitar and amplifier.,advertisement,,Avengers #101 (July 1972). Marvel Comics.,Marvel,25269,<a href='https://www.comics.org/issue/25269/'>25269</a>,Image;StillImage,image/jpeg,eng,private collection,,,,compound_object,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0016.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0016_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0016_th.jpg,,
cbp_0015,FALSE,TRUE,cbp_0014,Advertisement: Avengers #101 (July 1972). Marvel Comics. Full page.,Full page,,1972-07,Advertisement for mail-order electric guitar and amplifier. Full page.,advertisement,,Avengers #101 (July 1972). Marvel Comics.,Marvel,25269,<a href='https://www.comics.org/issue/25269/'>25269</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0015.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0015_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0015_th.jpg,,
cbp_0016,FALSE,TRUE,cbp_0014,Advertisement: Avengers #101 (July 1972). Marvel Comics. Detail.,Detail,,1972-07,Advertisement for mail-order electric guitar and amplifier. Detail.,advertisement,,Avengers #101 (July 1972). Marvel Comics.,Marvel,25269,<a href='https://www.comics.org/issue/25269/'>25269</a>,Image;StillImage,image/jpeg,eng,private collection,,,,image,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/cbp_0016.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/small/cbp_0016_sm.jpg,https://f001.backblazeb2.com/file/gnrlfs/cbp/objects/thumbs/cbp_0016_th.jpg,,
